x1,x2,x3,x4,trajectory
-0.13923403080208477,0.30971064782546903,0.14552962929695362,0.39621242165001364,1.0
-0.0014823203049499382,0.43413398708151096,-0.23227907935753273,-0.31271576553601704,1.0
0.1563830308834243,0.6157722038593069,-0.04734080237821259,-0.07307326555797022,1.0
-0.12807853282360757,-0.06343515810514401,0.09864794698044248,0.5073701752729894,1.0
-0.18402656379971008,-0.03884359626533715,-0.018538288282397,0.5025402181768082,1.0
0.0623430160750415,0.5864795786479619,0.10562454515970456,-0.23789856031330506,1.0
-0.17591087556540128,0.01386434618473147,-0.09621798870326544,-0.5227923008065032,2.0
-0.05950843182160099,0.6679223915450462,-0.18846606108380048,-0.15264486638929975,2.0
0.057351495082008874,-0.2784358753214873,0.1621169506567976,-0.44148172857227813,2.0
0.03992605915327338,0.4948082674446753,0.18962451223069157,0.3337107595912154,2.0
-0.12933239660919915,0.19559145985702736,-0.16304505083001544,-0.48108354969963774,2.0
0.10981335749576786,-0.4017716843333171,0.1538027623955712,-0.2896238538176922,2.0
-0.03980608721825794,0.026593349243905582,-0.2555551752285198,0.1115073131604924,3.0
0.07388660312438627,-0.037169821843661105,-0.2569682581766514,0.08720042997015896,3.0
0.186515560365273,-0.0752841486900066,-0.2062032541722523,0.04564892750414812,3.0
-0.22488734938915544,0.03605665151495049,0.14219806464678406,-0.06629728316397253,3.0
0.29050746349437845,-0.0998465648564703,-0.040098671838934376,0.01798380301321684,3.0
-0.1748340809561642,0.05273053405990589,0.17793598253155954,-0.10941314487920283,3.0
0.18207647281662268,-0.43330175704471824,0.025304713574547427,0.16904709991533243,4.0
-0.03261900637024808,0.6656038339248086,-0.15476787698764966,0.05244798603636227,4.0
-0.14504376081805467,0.6224533157131931,0.04147572741608341,0.002820180459255941,4.0
0.02815290840554237,0.25755504856381023,0.14757565556797012,-0.4446357052230833,4.0
0.1081904866499463,0.4574966827304505,-0.03945188197773425,0.325863656207578,4.0
-0.09133919868067762,0.5646332679400731,0.08081522009609987,-0.22918669376963652,4.0
0.10920919056866787,-0.0931561515366106,-0.012388758190901853,-0.10566429065508601,5.0
0.01177730234618385,0.13992835715898336,0.08475818296444776,-0.07159029609115139,5.0
-0.02240181443912597,-0.06262589258296469,-0.08530963097734873,0.13578502013957763,5.0
-0.04491082514412613,0.15187209799274473,0.057243183295806466,0.0600317856092242,5.0
-0.021405674496315617,-0.09584108991414288,-0.06647437985037678,0.1252135479584703,5.0
-0.07127521376538516,0.12881467763836418,0.0271369001466265,0.08914290108627416,5.0
