x1,x2,x3,trajectory
4.018025811359387,11.572847508480294,92.0,1.0
3.605966685671012,10.39943051859389,74.0,1.0
11.572847508480294,4.061230389976155,93.0,1.0
5.0077056884765625,1.7972302207596322,17.0,1.0
3.557237406134917,10.260771445012638,72.0,1.0
9.977674721756454,3.50783133104971,69.0,1.0
9.686308490426773,3.406870639378741,65.0,1.0
4.713134765625,1.6973840973840972,15.0,1.0
2.524093744953128,7.329363276221557,36.0,1.0
3.140301950539694,9.075560391605643,56.0,1.0
11.19538136074025,3.9301921553381254,87.0,1.0
2.9688961988513918,8.589050708430104,50.0,1.0
1.5,0.6666666666666666,1.0,1.0
4.060546875,1.4776334776334776,11.0,1.0
2.658782045965873,7.710297288604124,40.0,1.0
6.276731193065643,2.2304603414380413,27.0,1.0
5.524645083232854,1.4420232515651155,15.0,2.0
0.5,2.5,2.0,2.0
1.029598386209426,4.309932940296381,8.0,2.0
1.4420232515651155,5.872824859660447,16.0,2.0
3.4567933817689207,13.739519724132224,94.0,2.0
1.7588559686941911,7.09504751314654,24.0,2.0
13.739519724132224,3.493188830888087,95.0,2.0
2.7656921478678296,11.0249677246883,60.0,2.0
1.9629844418220042,7.887649541919956,30.0,2.0
2.8996538941636527,11.550490322254298,66.0,2.0
6.512930197597607,1.6852922023084498,21.0,2.0
11.202883845626163,2.8556989372476504,63.0,2.0
2.9429518890587287,11.72042505589707,68.0,2.0
1.5274741627171182,6.201232370027617,18.0,2.0
2.205856944590548,8.834136843303007,38.0,2.0
3.345231006408474,13.300820809259577,88.0,2.0
4.893024038595187,4.695664648031555,45.0,3.0
1.9458578637510513,1.9763593001088273,7.0,3.0
7.165484219500851,6.836783736967607,97.0,3.0
5.10397466586804,4.893825071411367,49.0,3.0
1.6317073170731706,1.706188340807175,5.0,3.0
5.872272215971306,5.616801027322434,65.0,3.0
5.781834210451717,5.531610900402906,63.0,3.0
2.9538916021923054,3.1957841624905483,18.0,3.0
1.2,1.3666666666666667,3.0,3.0
6.865085035472756,6.553140264990365,89.0,3.0
3.357400306299752,3.261026517459884,21.0,3.0
5.961335678575432,5.700715817622936,67.0,3.0
5.206234311242369,4.989945126617324,51.0,3.0
6.6308510681389565,6.332066203922671,83.0,3.0
6.553140264990365,6.941404908272154,90.0,3.0
2.84432204835759,2.7873074374886286,15.0,3.0
