x1,x2,x3
0.6002620400313977,0.0825232698829367,2.6169254287893584
0.9240338225769952,0.0605978218881708,2.315079094238527
1.2416468333615216,0.052045106947552,2.006018798394615
1.5565002768429266,0.0491632811053941,1.69404718075537
1.8693738558612845,0.0502475405797387,1.3800893422626686
2.179921108719153,0.0558961617932251,1.063893468191315
2.485954634589742,0.0701249931338835,0.7436311109800666
2.774963117844666,0.1136336270363135,0.4111139938227151
2.807476283581668,0.3661090839562105,0.1261253711658181
2.524613938699772,0.7019434857217544,0.07315331428217
