x1,x2,x3,trajectory
0.7777777777777777,-0.7777777777777777,1.0,0
0.7777777777777777,-0.6049382716049382,0.6049382716049383,0
0.7777777777777777,-0.43209876543209874,0.308641975308642,0
0.7777777777777777,-0.25925925925925924,0.11111111111111113,0
0.7777777777777777,-0.08641975308641978,0.01234567901234569,0
0.7777777777777777,0.08641975308641978,0.01234567901234569,0
0.7777777777777777,0.2592592592592592,0.11111111111111106,0
0.7777777777777777,0.4320987654320986,0.30864197530864174,0
0.7777777777777777,0.6049382716049381,0.6049382716049381,0
0.7777777777777777,0.7777777777777777,1.0,0
1.0,-1.0,1.0,0
1.0,-0.7777777777777778,0.6049382716049383,0
1.0,-0.5555555555555556,0.308641975308642,0
1.0,-0.33333333333333337,0.11111111111111113,0
1.0,-0.11111111111111116,0.01234567901234569,0
1.0,0.11111111111111116,0.01234567901234569,0
1.0,0.33333333333333326,0.11111111111111106,0
1.0,0.5555555555555554,0.30864197530864174,0
1.0,0.7777777777777777,0.6049382716049381,0
1.0,1.0,1.0,0
1.0,1.0,-1.0,1.0
