x1,x2,trajectory,computed_value
0.9999876383180646,0.0015723505541655,0,1.1073866449090315e-08
0.9998887473564416,0.0047166162792849,0,1.1038872177979456e-08
0.9996909787333692,0.0078595759310395,0,1.097414118343381e-08
0.9993943590471824,0.0110003590480768,0,1.0879841777545126e-08
0.9989989281903524,0.0141380955503368,0,1.0756216821851491e-08
0.9985047393434568,0.0172719158914833,0,1.0603584380481477e-08
0.997911858967136,0.0204009512112474,0,1.0422337217659635e-08
0.997220366792036,0.0235243334876602,0,1.0212939058579688e-08
0.9964303558067592,0.0266411956891506,0,9.975928028032395e-09
0.9955419322437932,0.0297506719264816,0,9.71191167543096e-09
0.9945552155634428,0.0328518976045014,0,9.421564613203583e-09
0.993470338435774,0.0359440095736855,0,9.105632622895743e-09
0.9922874467205376,0.0390261462814438,0,8.764923636537567e-09
0.991006699445118,0.0420974479231697,0,8.40031076828858e-09
0.9896282687804798,0.0451570565930049,0,8.01272742310351e-09
0.9881523400151332,0.0482041164342972,0,7.603165960350333e-09
0.9865791115271176,0.0512377737897264,0,7.172676960432155e-09
0.984908794753995,0.0542571773510724,0,6.722362527438319e-09
0.9831416141608827,0.0572614783086046,0,6.2533762525892075e-09
0.981277807206518,0.0602498305000649,0,5.766922439203143e-09
0.9793176243073392,0.0632213905592208,0,5.2642469139568854e-09
0.977261328799636,0.0661753180639684,0,4.7466406124821015e-09
0.975109196899726,0.0691107756839552,0,4.215431497510868e-09
0.9728615176621996,0.0720269293277028,0,3.6719848381987253e-09
0.9705185929362132,0.074922948289205,0,3.1176961533887874e-09
0.9680807373198624,0.0777980053939763,0,2.553991298101508e-09
0.96554827811262,0.0806512771445289,0,1.9823202543792488e-09
0.962921555265862,0.0834819438652529,0,1.404155746765762e-09
0.9602009213314772,0.086289189846677,0,8.209865816392426e-10
0.9573867414085852,0.0890722034890871,0,2.343179290668201e-10
0.9544793930883456,0.0918301774454768,0,-3.5433688502319985e-10
0.9514792663968974,0.0945623087638113,0,-9.434560691967551e-10
0.9483867637364124,0.0972677990285757,0,-1.5315150966671127e-09
0.9452022998242812,0.0999458545015892,0,-2.1169916330104558e-09
0.9419263016304472,0.1025956862620619,0,-2.69836772927187e-09
0.9385592083128906,0.105216510345869,0,-3.2741331991251435e-09
0.935101471151274,0.1078075478840217,0,-3.8427906906411275e-09
0.9315535534787588,0.1103680252403123,0,-4.402858489109564e-09
0.9279159306120076,0.1128971741481103,0,-4.9528755561365335e-09
0.9241890897793829,0.1153942318462884,0,-5.491403102787506e-09
0.920373530047344,0.1178584412142545,0,-6.01703070803604e-09
0.9164697622450704,0.1202890509060704,0,-6.528377396939392e-09
