x1,x2,x3
-0.3763554581000118,0.067014710612033,0.3625631517277479
-0.3581271395490495,0.0966703327152482,0.3625631517277479
-0.3352180743930523,0.1228988019089642,0.3625631517277479
-0.3089288590944062,0.1457527203499205,0.3625631517277479
-0.2802035267945063,0.1654677260785533,0.3625631517277479
-0.2497046554865504,0.1823162725764399,0.3625631517277479
-0.2178989080877414,0.1965489503814625,0.3625631517277479
-0.1851219388916611,0.2083768955196964,0.3625631517277479
-0.1516223711620793,0.2179701288951387,0.3625631517277479
-0.1175910913474757,0.2254611216016623,0.3625631517277479
