x1,x2,x3,trajectory
1.5,0.8,1.2,5.0
0.8,2.068181818181818,2.2,5.0
2.068181818181818,1.0335164835164836,3.2,5.0
1.0335164835164836,2.543328017012227,4.2,5.0
2.543328017012227,1.2279489323385646,5.2,5.0
1.2279489323385646,2.9474799345415814,6.2,5.0
2.9474799345415814,1.3966733474326187,7.2,5.0
1.3966733474326187,3.304018190670093,8.2,5.0
3.304018190670093,1.5475227989661535,9.2,5.0
1.5475227989661535,3.626288872533173,10.2,5.0
3.626288872533173,1.6851151412671652,11.2,5.0
1.6851151412671652,3.922483338796266,12.2,5.0
3.922483338796266,1.8123954380575016,13.2,5.0
1.8123954380575016,4.198008086127151,14.2,5.0
4.198008086127151,1.931367108042424,15.2,5.0
1.931367108042424,4.4566397406092415,16.2,5.0
4.4566397406092415,2.0434626252605925,17.2,5.0
2.0434626252605925,4.701134871682973,18.2,5.0
4.701134871682973,2.1497468751374145,19.2,5.0
2.1497468751374145,4.933576467406872,20.2,5.0
4.933576467406872,2.2510364338582383,21.2,5.0
2.2510364338582383,5.155583104229875,22.2,5.0
5.155583104229875,2.347973482157909,23.2,5.0
2.347973482157909,5.368441668302548,24.2,5.0
5.368441668302548,2.441073725758766,25.2,5.0
2.441073725758766,5.573195110460257,26.2,5.0
5.573195110460257,2.530758655521228,27.2,5.0
2.530758655521228,5.770702507442806,28.2,5.0
5.770702507442806,2.6173779656047875,29.2,5.0
2.6173779656047875,5.9616813906845225,30.2,5.0
5.9616813906845225,2.70122556012627,31.2,5.0
2.70122556012627,6.146738337282129,32.2,5.0
6.146738337282129,2.7825512522782843,33.2,5.0
2.7825512522782843,6.326391565120861,34.2,5.0
6.326391565120861,2.8615694910062435,35.2,5.0
2.8615694910062435,6.501087943380819,36.2,5.0
6.501087943380819,2.938465987973883,37.2,5.0
2.938465987973883,6.671216015936674,38.2,5.0
6.671216015936674,3.013402830378477,39.2,5.0
3.013402830378477,6.837116122320485,40.2,5.0
6.837116122320485,3.086522481674188,41.2,5.0
3.086522481674188,6.999088368919946,42.2,5.0
6.999088368919946,3.15795095200213,43.2,5.0
3.15795095200213,7.157398982969212,44.2,5.0
7.157398982969212,3.2278003395128065,45.2,5.0
3.2278003395128065,7.312285432797217,46.2,5.0
7.312285432797217,3.2961708886220618,47.2,5.0
3.2961708886220618,7.463960594846736,48.2,5.0
7.463960594846736,3.3631526728211103,49.2,5.0
3.3631526728211103,7.612616175634686,50.2,5.0
7.612616175634686,3.4288269824432303,51.2,5.0
3.4288269824432303,7.758425545175539,52.2,5.0
7.758425545175539,3.4932674782128808,53.2,5.0
3.4932674782128808,7.901546100976279,54.2,5.0
7.901546100976279,3.5565411571250984,55.2,5.0
3.5565411571250984,8.042121254246089,56.2,5.0
8.042121254246089,3.6187091666558175,57.2,5.0
3.6187091666558175,8.180282109553021,58.2,5.0
8.180282109553021,3.679827495420185,59.2,5.0
3.679827495420185,8.316148893818573,60.2,5.0
8.316148893818573,3.739947562438661,61.2,5.0
3.739947562438661,8.449832178888599,62.2,5.0
8.449832178888599,3.799116722623428,63.2,5.0
3.799116722623428,8.581433932981598,64.2,5.0
8.581433932981598,3.857378702593636,65.2,5.0
3.857378702593636,8.711048429398046,66.2,5.0
8.711048429398046,3.914773978204394,67.2,5.0
3.914773978204394,8.838763035474845,68.2,5.0
8.838763035474845,3.971340103039711,69.2,5.0
3.971340103039711,8.96465890052062,70.2,5.0
8.96465890052062,4.027111995433741,71.2,5.0
4.027111995433741,9.088811558100042,72.2,5.0
9.088811558100042,4.082122190243558,73.2,5.0
4.082122190243558,9.211291455347244,74.2,5.0
9.211291455347244,4.136401060522573,75.2,5.0
4.136401060522573,9.332164419828496,76.2,5.0
9.332164419828496,4.189977013377962,77.2,5.0
4.189977013377962,9.451492072727971,78.2,5.0
9.451492072727971,4.2428766635933615,79.2,5.0
4.2428766635933615,9.569332195710247,80.2,5.0
9.569332195710247,4.295124988025534,81.2,5.0
4.295124988025534,9.68573905765168,82.2,5.0
9.68573905765168,4.346745463314171,83.2,5.0
4.346745463314171,9.800763706477966,84.2,5.0
9.800763706477966,4.397760189057073,85.2,5.0
4.397760189057073,9.91445423055629,86.2,5.0
9.91445423055629,4.4481899982823885,87.2,5.0
4.4481899982823885,10.026855993435518,88.2,5.0
10.026855993435518,4.498054556783026,89.2,5.0
4.498054556783026,10.138011845181763,90.2,5.0
10.138011845181763,4.547372452655398,91.2,5.0
4.547372452655398,10.24796231309924,92.2,5.0
10.24796231309924,4.596161277197696,93.2,5.0
4.596161277197696,10.356745774241642,94.2,5.0
10.356745774241642,4.644437698165264,95.2,5.0
4.644437698165264,10.464398611794664,96.2,5.0
10.464398611794664,4.692217526247337,97.2,5.0
4.692217526247337,10.570955357134924,98.2,5.0
10.570955357134924,4.739515775516284,99.2,5.0
4.739515775516284,10.67644881913666,100.2,5.0
